,"4TH YEAR CLASSROOM, PRINTING 2ND FLOOR ",30-40,EMERGENCY STANDBY ROOM,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"1ST YEAR CLASSROOM, POWER 2ND FLOOR ",50-60,EMERGENCY STANDBY ROOM,,,,,,,10TH APRIL,TRUE,FALSE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"Classroom(room4), SMCC 1ST FLOOR",24,EMERGENCY STANDBY ROOM,,,,,,,10TH APRIL,TRUE,TRUE,if rearranged then can be doubled (extra chair needed)
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"AMENITY CENTRE, 3 SMALL ROOM, 1ST FLOOR",,EMERGENCY STANDBY ROOM,,,,,,,10TH APRIL,FALSE,FALSE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
